Title,URL,Root Cause of Flakiness,Root Cause Category,Tests/Code Affected (to Reproduce),Testing Environment/Runner,Manifestation Category,How Fixed in Code,Fix Category,Link to Pull Request (if needed),,,,,,,,
Web,,,,,,,,,,,,,,,,,
[core] Ignore a few flaky visual tests (#19226),https://github.com/mui-org/material-ui/commit/341d0f3d2aa837cbfe890a6695293180f2164f41,Image load may fail,Network Resource Loading,https://github.com/mui-org/material-ui/blob/341d0f3d2aa837cbfe890a6695293180f2164f41/test/regressions/index.js,CircleCi,Unspecified,Added images to blacklist,Blacklist Test,https://github.com/mui-org/material-ui/pull/19226,,,,,,,,
[docs] Batch small changes (#16951)\n\n* [docs] Remove Localize backer\r\n\r\nWe should have removed it last month but forgotten\r\n\r\n* [docs] Document safer path import\r\n\r\n* [docs] Remove double space\r\n\r\n* [docs] Remove redundant prop\r\n\r\n* [docs] Focus on v4.x releases now\r\n\r\n* [docs] Sort demos by popularity\r\n\r\n* [test] Disable flaky tests\r\n\r\n* [docs] Increase the likeness to get backlinks\r\n\r\nThe copyright approach is more valuable for our users than the made with love.\r\n\r\n* [blog] Add v1 link so we can change the canonical url on Medium\r\n\r\n* green build,https://github.com/mui-org/material-ui/commit/0b299e12a27156a7176a801b472a5bf773915bec,Image load issue,Network Resource Loading,https://github.com/oliviertassinari/material-ui/blob/642969f69ecd38cca8e9aa279f65393f0e00138b/test/regressions/index.js,,Unspecified,Added images to blacklist,Blacklist Test,https://github.com/mui-org/material-ui/pull/16951/commits/642969f69ecd38cca8e9aa279f65393f0e00138b,,,,,,,,
"Batch small changes (#16883)\n\n* [test] Disable flaky CustomizedTreeView.png\r\n\r\n* [docs] The outline is no always blue\r\n\r\n* [docs] Remove dead icon\r\n\r\n* [docs] Use the same favicon everywhere\r\n\r\n* [docs] Real life use case\r\n\r\n* [docs] Copy JSFiddle wordings\r\n\r\n* [docs] Migrate TypeScript demos\r\n\r\n* [docs] Rename themes -> theming\r\n\r\nAvoid keyword conflict, reproduce Bootstrap wording\r\n\r\n* [docs] Improve datepicker demos\r\n\r\n* Kristoffer review\r\n\r\n* Matt review\r\n\r\n* minimize diff\r\n\r\n* Matt reivew",https://github.com/mui-org/material-ui/commit/42a2bf354140987dbc7f4a4817a4b6b044e87320,Image load issue,Network Resource Loading,https://github.com/mui-org/material-ui/blob/42a2bf354140987dbc7f4a4817a4b6b044e87320/test/regressions/index.js,,Unspecified,Disabled falsy test,Remove Test,https://github.com/mui-org/material-ui/pull/16883,,,,,,,,
"[test] Fix a flaky test (#15445)\n\n* [test] Fix a flaky test\r\n\r\n* Onepixel is closing remove it\r\n\r\n* remove styles warning in test env\r\n\r\n* migration guide JSS v10 vs v9\r\n\r\n* Fix a few accessibility errors reported by Wave\r\n\r\n* font-awesome flakyness, reject when inactive, investigate",https://github.com/mui-org/material-ui/commit/004bb030ae626dd85bec84d19d367cb02c75fd2c,Improper waiting for elements,Resource Rendering,https://github.com/oliviertassinari/material-ui/blob/f75bd499b1ac1a31ee9625692f249ff279821b00/packages/material-ui-lab/src/SpeedDial/SpeedDial.test.js,,Rerun Multiple Times,Increase timeout,Add/Increase Delay,https://github.com/mui-org/material-ui/pull/15445,,,,,,,,
[test] Fix Argos-CI flakyness (#12142),https://github.com/mui-org/material-ui/commit/734023dc423b7b1792efbc6a4d3f1e77007c3c84,Wait for Font Awesome to be loaded.,Network Resource Loading,https://github.com/oliviertassinari/material-ui/blob/192f7d7386a49f10bfc0c3f53c79d13ee8021d0c/test/regressions/index.js,,Unspecified,Added Font Awesome to be waiting for load,Fix Await Mechanism,https://github.com/mui-org/material-ui/pull/12142,,,,,,,,
[test] The size limit is flaky :o,https://github.com/mui-org/material-ui/commit/7d66bcee86dc0bf3bbb4cf43621400f07027d8dd,"[test] The size limit is flaky(90.71KB, changed to 90.72KB for fixing)",Network Resource Loading,https://github.com/mui-org/material-ui/blob/7d66bcee86dc0bf3bbb4cf43621400f07027d8dd/.size-limit,,Unspecified,Changed the size limit,Refactor Logic Implementation,,,,,,,,,
[test] Fix flaky popper.js test (#9168),https://github.com/mui-org/material-ui/commit/9d1c2f0ab014c76ddc042dea58a6a9384fc108f4,popper.js issue(get NaN for some computed styles),Incorrect Test Runner Interaction,https://github.com/the-noob/material-ui/blob/032d7ad3cde100d8d7b3223b71198e3fe6b8735f/src/Tooltip/Tooltip.spec.js https://github.com/the-noob/material-ui/blob/032d7ad3cde100d8d7b3223b71198e3fe6b8735f/src/Tooltip/Tooltip.js,,Unspecified,Changed div element and change `getChildren()` => `getPopperChildren()`,Fix Incorrect/Change API Access,https://github.com/mui-org/material-ui/pull/9168,,,,,,,,
Build: Fix flaky story (#8459)\n\nBuild: Fix flaky story\r\n\r\nCo-authored-by: Michael Shilman <shilman@users.noreply.github.com>,https://github.com/storybookjs/storybook/commit/fd7193abe02c4b6f8cf1a2527f322bd5ab687df6,Layout issue when run in Chromatic,Layout Difference,https://github.com/storybookjs/storybook/blob/fd7193abe02c4b6f8cf1a2527f322bd5ab687df6/lib/ui/src/components/layout/layout.stories.js https://github.com/storybookjs/storybook/blob/fd7193abe02c4b6f8cf1a2527f322bd5ab687df6/lib/ui/src/components/layout/persist.js,"CircleCi, Chromatic",Forcibly Clear Data,REMOVE the relevant localstorage on every story render in chromatic and set default layout,Refactor Logic Implementation,https://github.com/storybookjs/storybook/pull/8459,,,,,,,,
FIX flaky story,https://github.com/storybookjs/storybook/commit/8d135069690f5552ad62aa33c21c1662706f1cc7,"1 story has been flaky, this makes it deterministic",Layout Difference,https://github.com/storybookjs/storybook/blob/8d135069690f5552ad62aa33c21c1662706f1cc7/lib/ui/src/components/layout/layout.stories.js,CircleCi,Forcibly Clear Data,Changed default layout sizing and remove relevant localstorage ,Refactor Logic Implementation,https://github.com/storybookjs/storybook/pull/8459,,,,,,,,
Introduce dynamic(() => import()) (#5249)\n\n* Add failing tests\r\n\r\n* Upgrade wd module\r\n\r\n* Pass dynamic import webpack ids to the client side\r\n\r\n* Pass through webpack ids to initalializer and only use those\r\n\r\n* Compile dynamic(import()) to dynamic(() => import())\r\n\r\n* Default dynamicIds\r\n\r\n* Use forked hard-source-plugin\r\n\r\n* Possibly fix test\r\n\r\n* Make tests fail less intermittently\r\n\r\n* Temporarily disable hard-source in production\r\n\r\n* Make sure dynamic import chunks are unique\r\n\r\n* Disable hard-source\r\n\r\n* Log html if error is thrown\r\n\r\n* Fix test,https://github.com/zeit/next.js/commit/42736c061ad0e5610522de2517c928b2b8af0ed4,"Time Delays not long enough, Components not rendered in time",Resource Rendering,https://github.com/zeit/next.js/blob/42736c061ad0e5610522de2517c928b2b8af0ed4/test/integration/basic/test/error-recovery.js,"Webdriver,Jest",Unspecified,Changed wait time from 3 seconds to 10 seconds,Add/Increase Delay,https://github.com/zeit/next.js/pull/5249,,,,,,,,
"chore: update minor updates in packages except react, babel and eslint (#16942)\n\n* chore: update minor updates in packages except react, babel and eslint\n\n* Update snapshots\n\n* Bump up timeout for a flaky test",https://github.com/gatsbyjs/gatsby/commit/05e90da29ff965ec00ea9b8c226e081408903e9c,Time delay not long enough,Resource Rendering,https://github.com/gatsbyjs/gatsby/blob/05e90da29ff965ec00ea9b8c226e081408903e9c/e2e-tests/production-runtime/cypress/integration/accessibility.js,Cypress,Unspecified,Changed wait time from 5s to 10s,Add/Increase Delay,https://github.com/gatsbyjs/gatsby/pull/16942,,,,,,,,
